player,team,age,position,games_played,minutes_played,total_points,field_goals,field_goals_attempted,free_throws,free_throws_attempted,assists,rebounds,steals,blocks,turnovers,personal_fouls
Carmelo Anthony,NYK,28,PF,67,2482,1920,669,1489,425,512,171,460,52,32,175,205
Joel Anthony,MIA,30,C,62,566,87,35,68,17,28,13,115,13,42,22,49
Trevor Ariza,WAS,27,SF,56,1471,530,188,451,78,95,113,266,72,20,84,72
Darrell Arthur,MEM,24,PF,59,970,362,162,359,33,46,33,169,24,33,43,126
Omer Asik,HOU,26,C,82,2464,832,332,614,168,299,75,956,46,87,173,223
D.J. Augustin,IND,25,PG,76,1226,356,103,294,83,99,170,91,34,3,68,64
Gustavo Ayon,TOT,27,C,55,734,204,92,167,20,50,71,199,22,17,47,107
Gustavo Ayon,ORL,27,C,43,571,153,67,125,19,38,59,140,13,13,38,83
Gustavo Ayon,MIL,27,C,12,163,51,25,42,1,12,12,59,9,4,9,24
Jeff Ayres,IND,25,PF,37,369,145,61,126,21,23,15,104,6,12,23,44
Luke Babbitt,POR,23,PF,62,730,244,86,234,10,13,29,137,14,5,22,82
Leandro Barbosa,BOS,30,PG,41,513,215,83,193,31,41,58,46,17,6,21,51
Jose Barea,MIN,28,PG,74,1713,834,316,758,105,134,294,207,32,0,145,131
Andrea Bargnani,TOR,27,PF,35,1003,443,170,426,65,77,38,128,21,23,54,64
Harrison Barnes,GSW,20,SF,81,2058,748,276,628,144,190,98,333,52,14,101,140
Matt Barnes,LAC,32,SF,80,2058,822,312,675,87,117,123,366,82,63,90,233
Earl Barron,TOT,31,C,12,159,39,18,51,3,7,5,61,5,6,11,24
Earl Barron,WAS,31,C,11,122,28,13,37,2,5,3,43,5,5,10,23
Earl Barron,NYK,31,C,1,37,11,5,14,1,2,2,18,0,1,1,1
Will Barton,POR,22,SG,73,894,295,118,309,50,65,58,145,34,9,60,56
Brandon Bass,BOS,27,PF,81,2239,701,286,589,129,150,84,425,44,64,80,188
Shane Battier,MIA,34,SF,72,1786,472,152,362,32,38,72,165,41,55,34,149
Nicolas Batum,POR,24,SF,73,2807,1047,352,833,178,210,360,412,91,83,190,139
Jerryd Bayless,MEM,24,PG,80,1765,693,260,621,102,122,264,176,59,17,120,168
Aron Baynes,SAS,26,C,16,141,43,18,36,7,12,5,32,1,6,11,23
Kent Bazemore,GSW,23,SG,61,267,123,43,116,27,44,22,22,17,4,18,27
Bradley Beal,WAS,19,SG,56,1745,780,282,687,125,159,137,211,50,29,90,113
Michael Beasley,PHO,24,SF,75,1554,759,310,766,94,126,111,282,31,34,144,107
Rodrigue Beaubois,DAL,24,PG,45,549,181,65,176,30,38,84,57,19,4,33,54
Marco Belinelli,CHI,26,SG,73,1882,702,241,610,141,168,148,140,44,6,82,140
Patrick Beverley,HOU,24,PG,41,713,228,79,189,34,41,117,109,37,21,44,83
Andris Biedrins,GSW,26,C,53,495,24,10,21,4,13,14,153,15,42,14,101
Chauncey Billups,LAC,36,SG,22,418,184,53,132,45,48,49,32,12,1,26,25
Bismack Biyombo,CHA,20,C,80,2186,386,156,346,74,142,35,582,28,143,82,195
DeJuan Blair,SAS,23,PF,61,851,328,142,271,44,70,45,230,37,10,49,112
Steve Blake,LAL,32,PG,45,1175,327,114,270,27,35,173,132,34,6,62,83
Andray Blatche,BRK,26,C,82,1555,843,346,676,148,216,85,417,86,54,123,163
Eric Bledsoe,LAC,23,PG,76,1553,643,253,568,106,134,233,225,109,55,137,112
Keith Bogans,BRK,32,SG,74,1408,311,108,284,11,17,76,120,28,4,49,108
Andrew Bogut,GSW,28,C,32,786,186,83,184,19,38,67,245,20,55,35,85
Matt Bonner,SAS,32,PF,68,909,288,112,230,11,15,36,129,17,19,16,86
